station,tmax_media,provincia,lon,lat,altura
RIO CUARTO AERO,19.4,CORDOBA,-64.23333333333333,-33.11666666666667,421
RIO GALLEGOS AERO,7.4,SANTA CRUZ,-69.28333333333333,-51.61666666666667,19
RIO GRANDE B.A.,7,TIERRA DEL FUEGO,-67.75,-53.8,22
RIVADAVIA,26.5,SALTA,-62.9,-24.166666666666668,205
ROSARIO AERO,20.1,SANTA FE,-60.78333333333333,-32.916666666666664,25
SALTA AERO,22.6,SALTA,-65.48333333333333,-24.85,1221
SAN ANTONIO OESTE AERO,NA,RIO NEGRO,-65.1,-40.78333333333333,20
SAN FERNANDO AERO,19,BUENOS AIRES,-58.583333333333336,-34.45,3
SAN JUAN AERO,20.7,SAN JUAN,-68.41666666666667,-31.566666666666663,598
SAN JULIAN AERO,11.6,SANTA CRUZ,-67.78333333333333,-49.31666666666667,62
SAN LUIS AERO,21.5,SAN LUIS,-66.35,-33.266666666666666,713
SAN MARTIN (MZA),20.5,MENDOZA,-68.41666666666667,-33.083333333333336,653
SAN RAFAEL AERO,25.4,MENDOZA,-68.4,-34.583333333333336,748
SANTA CRUZ AERO,7.9,SANTA CRUZ,-68.56666666666666,-50.016666666666666,111
SANTA ROSA AERO,22.3,LA PAMPA,-64.26666666666667,-36.56666666666667,191
SANTA ROSA DE CONLARA AERO,23,SAN LUIS,-65.18333333333334,-32.38333333333333,620
SANTIAGO DEL ESTERO AERO,24.8,SANTIAGO DEL ESTERO,-64.3,-27.766666666666666,199
SAUCE VIEJO AERO,21.1,SANTA FE,-60.81666666666667,-31.7,18
SUNCHALES AERO,21.7,SANTA FE,-61.333333333333336,-30.966666666666665,92
TANDIL AERO,16.8,BUENOS AIRES,-59.25,-37.233333333333334,175
TARTAGAL AERO,24.3,SALTA,-63.81666666666667,-22.65,450
TERMAS DE RIO HONDO AERO,21.7,SANTIAGO DEL ESTERO,-64.93333333333334,-27.483333333333334,280
TINOGASTA,25.5,CATAMARCA,-67.56666666666666,-28.066666666666663,1201
TRELEW AERO,21.6,CHUBUT,-65.26666666666667,-43.2,43
TRENQUE LAUQUEN,19.9,BUENOS AIRES,-62.733333333333334,-35.96666666666667,95
TRES ARROYOS,17.7,BUENOS AIRES,-60.25,-38.333333333333336,115
TUCUMAN AERO,23.2,TUCUMAN,-65.1,-26.85,450
USHUAIA AERO,11.5,TIERRA DEL FUEGO,-68.31666666666666,-54.8,57
USPALLATA,16.5,MENDOZA,-69.33333333333333,-32.6,1891
VENADO TUERTO AERO,21.7,SANTA FE,-61.96666666666667,-33.666666666666664,112
VICTORICA,21.6,LA PAMPA,-65.43333333333334,-36.21666666666667,312
VIEDMA AERO,19.9,RIO NEGRO,-63.016666666666666,-40.85,7
VILLA DE MARIA DEL RIO SECO,24,CORDOBA,-63.68333333333333,-29.9,341
VILLA DOLORES AERO,20.9,CORDOBA,-65.13333333333334,-31.95,566
VILLA GESELL AERO,17.5,BUENOS AIRES,-57.016666666666666,-37.233333333333334,9
VILLA REYNOLDS AERO,23.5,SAN LUIS,-65.38333333333334,-33.733333333333334,486
